,user,webtoon_title,score
0,1,나노마신,4.0
1,1,연애혁명,4.0
2,1,외모지상주의,6.0
3,1,입학용병,4.0
4,1,1초,3.5
5,2,리트리츠,6.0
6,2,마루는 강쥐,5.0
7,2,마음의소리,5.0
8,2,스터디그룹,5.0
9,3,가우스전자,1.0
10,3,대학일기,5.0
11,3,독립일기,5.0
12,3,먹이,6.0
13,3,숲속의 담,4.0
14,3,에리타,3.0
15,3,여우자매,6.0
16,4,만물의 영장,6.0
17,4,쇼미더럭키짱!,1.0
18,5,김부장,5.0
19,5,나이트런,1.0
20,5,싸움독학,6.0
21,6,별이삼샵,6.0
22,6,빌드업,5.0
23,6,여신강림,1.0
24,7,세상은 돈과 권력,6.0
25,7,신의 탑,6.0
26,7,싸움독학,6.0
27,7,입학용병,6.0
28,7,캐슬,6.0
29,8,광마회귀,6.0
30,9,공유몽,1.0
31,9,어쩌다보니 천생연분,6.0
32,10,별이삼샵,6.0
33,10,살人스타그램,2.0
34,10,좀비딸,5.0
35,11,갓 오브 하이스쿨,3.0
36,11,광마회귀,5.0
37,11,만능잡캐,3.0
38,11,역대급 영지 설계사,6.0
39,11,외모지상주의,1.0
40,11,입학용병,4.0
41,11,퀘스트지상주의,3.0
42,11,99강화나무몽둥이,4.0
43,12,갓 오브 하이스쿨,4.0
44,12,김부장,5.0
45,12,나노마신,1.0
46,12,약한영웅,5.0
47,12,연애혁명,4.0
48,12,외모지상주의,5.0
49,12,윈드브레이커,5.0
50,12,입학용병,5.0
51,12,전지적 독자 시점,6.0
52,12,참교육,5.0
53,12,1초,4.0
54,13,노블레스,1.0
55,13,연애혁명,2.0
56,13,이두나!,3.0
57,14,화산귀환,6.0
58,15,김부장,5.0
59,15,나이트런,5.0
60,15,사형소년,5.0
61,15,참교육,6.0
62,15,헬퍼 2 : 킬베로스,1.0
63,15,호랑이형님,5.0
64,16,격기3반,5.0
65,16,"곱게 키웠더니, 짐승",5.0
66,16,김부장,5.0
67,16,나 혼자 만렙 뉴비,5.0
68,16,나노마신,5.0
69,16,나쁜사람,5.0
70,16,나타나주세요!,6.0
71,16,내 남편과 결혼해줘,5.0
72,16,노답소녀,5.0
73,16,랜덤채팅의 그녀!,5.0
74,16,뮤즈 온 유명,5.0
75,16,뷰티풀 군바리,5.0
76,16,비즈니스 여친,5.0
77,16,사형소년,5.0
78,16,상남자,5.0
79,16,세상은 돈과 권력,5.0
80,16,신의 탑,5.0
81,16,싸움독학,5.0
82,16,연놈,5.0
83,16,연애혁명,5.0
84,16,왕게임,5.0
85,16,외모지상주의,5.0
86,16,은둔코인,5.0
87,16,이별 후 사내 결혼,5.0
88,16,입학용병,5.0
89,16,전지적 독자 시점,5.0
90,16,중증외상센터 : 골든 아워,5.0
91,16,참교육,5.0
92,16,청춘 블라썸,5.0
93,16,캐슬,6.0
94,16,퀘스트지상주의,5.0
95,16,퍼니게임,5.0
96,16,헤어지면 죽음,5.0
97,16,헥토파스칼,5.0
98,16,1초,5.0
99,17,더 게이머,1.0
100,17,별이삼샵,6.0
101,17,투신전생기,5.0
102,18,신과함께,6.0
103,19,김부장,3.0
104,19,나쁜사람,3.0
105,19,별이삼샵,6.0
106,19,뷰티풀 군바리,3.0
