user,webtoon_title,webtoon_num,webtoon_ratings
1,리트리츠,494,6
1,마루는 강쥐,505,5
1,마음의소리,522,5
1,스터디그룹,951,5
2,가우스전자,7,1
2,대학일기,372,5
2,독립일기,404,5
2,먹이,547,6
2,숲속의 담,937,4
2,에리타,1148,3
2,여우자매,1171,6
3,만물의 영장,531,6
3,쇼미더럭키짱!,918,1
4,김부장,200,5
4,나이트런,253,1
4,싸움독학,1018,6
5,별이삼샵,703,6
5,빌드업,774,5
5,여신강림,1167,1
6,세상은 돈과 권력,881,6
6,신의 탑,1000,6
6,싸움독학,1018,6
6,입학용병,1436,6
6,캐슬,1639,6
7,광마회귀,107,6
8,공유몽,99,1
8,어쩌다보니 천생연분,1130,6
9,별이삼샵,703,6
9,살人스타그램,824,2
9,좀비딸,1508,5
10,갓 오브 하이스쿨,23,3
10,광마회귀,107,5
10,만능잡캐,528,3
10,역대급 영지 설계사,1178,6
10,외모지상주의,1286,1
10,입학용병,1436,4
10,퀘스트지상주의,1650,3
10,99강화나무몽둥이,2043,4
11,갓 오브 하이스쿨,23,4
11,김부장,200,5
11,나노마신,225,1
11,약한영웅,1114,5
11,연애혁명,1191,4
11,외모지상주의,1286,5
11,윈드브레이커,1352,5
11,입학용병,1436,5
11,전지적 독자 시점,1480,6
11,참교육,1578,5
11,1초,1992,4
12,노블레스,316,1
12,연애혁명,1191,2
12,이두나!,1380,3
13,화산귀환,1903,6
14,김부장,200,5
14,나이트런,253,5
14,사형소년,821,5
14,참교육,1578,6
14,헬퍼 2 : 킬베로스,1867,1
14,호랑이형님,1882,5
15,격기3반,59,5
15,"곱게 키웠더니, 짐승",93,5
15,김부장,200,5
15,나 혼자 만렙 뉴비,222,5
15,나노마신,225,5
15,나쁜사람,242,5
15,나타나주세요!,254,6
15,내 남편과 결혼해줘,276,5
15,노답소녀,313,5
15,랜덤채팅의 그녀!,457,5
15,뮤즈 온 유명,605,5
15,뷰티풀 군바리,748,5
15,비즈니스 여친,769,5
15,사형소년,821,5
15,상남자,838,5
15,세상은 돈과 권력,881,5
15,신의 탑,1000,5
15,싸움독학,1018,5
15,연놈,1183,5
15,연애혁명,1191,5
15,왕게임,1280,5
15,외모지상주의,1286,5
15,은둔코인,1363,5
15,이별 후 사내 결혼,1388,5
15,입학용병,1436,5
15,전지적 독자 시점,1480,5
15,중증외상센터 : 골든 아워,1532,5
15,참교육,1578,5
15,청춘 블라썸,1606,5
15,캐슬,1639,6
15,퀘스트지상주의,1650,5
15,퍼니게임,1742,5
15,헤어지면 죽음,1855,5
15,헥토파스칼,1857,5
15,1초,1992,5
16,더 게이머,373,1
16,별이삼샵,703,6
16,투신전생기,1705,5
17,신과함께,986,6
18,김부장,200,3
18,나쁜사람,242,3
18,별이삼샵,703,6
18,뷰티풀 군바리,748,3
18,상남자,838,4
18,시체기사 군터,976,1
18,압락사스,1101,1
18,연애혁명,1191,4
18,외모지상주의,1286,2
18,윈드브레이커,1352,3
18,이두나!,1380,4
18,일렉시드,1424,4
18,잔불의 기사,1446,3
18,장씨세가 호위무사,1453,3
18,전지적 독자 시점,1480,3
18,제왕: 빛과 그림자,1493,4
18,참교육,1578,3
18,퀘스트지상주의,1650,3
18,튜토리얼 탑의 고인물,1707,3
19,격기3반,59,4
19,격투기특성화사립고교 극지고,60,5
19,고수,86,4
19,김부장,200,6
19,마음의소리,522,5
19,말년용사,534,6
19,별이삼샵,703,5
19,빌드업,774,6
19,선천적 얼간이들,868,5
19,심심한 마왕,1009,5
19,어쩌다보니 천생연분,1130,6
19,인생존망,1414,5
19,입시명문사립 정글고등학교,1435,5
19,전자오락수호대,1479,5
19,좀비딸,1508,5
19,참교육,1578,6
19,캐슬,1639,4
19,타임인조선,1676,5
19,투신전생기,1705,5
19,폭풍의 전학생,1756,4
19,한림체육관,1829,3
19,헬퍼,1866,4
19,헬퍼 2 : 킬베로스,1867,3
19,호랑이 들어와요,1881,4
19,호랑이형님,1882,5
19,화산귀환,1903,6
20,데드퀸,382,4
20,테러대부활,1693,1
20,하이브 1~2,1815,6
20,하이브 3,1816,6
21,연애혁명,1191,6
22,연애혁명,1191,5
22,컨트롤제트,1644,5
22,후레자식,1927,5
23,약한영웅,1114,5
23,외모지상주의,1286,1
25,갓 오브 하이스쿨,23,4
25,고삼이 집나갔다,85,4
25,고수,86,5
25,금수저,181,3
25,신의 탑,1000,6
25,헬퍼,1866,5
26,바른연애 길잡이,641,5
26,별이삼샵,703,5
26,여신강림,1167,2
26,연애혁명,1191,6
26,좀비딸,1508,5
26,프리드로우,1769,3
26,1초,1992,6
27,김부장,200,5
27,사신소년,808,6
27,사형소년,821,4
27,싸움독학,1018,5
27,외모지상주의,1286,5
27,용사가 돌아왔다,1296,5
27,윈드브레이커,1352,4
27,일렉시드,1424,5
27,입학용병,1436,4
27,참교육,1578,4
27,천마육성,1592,4
27,퀘스트지상주의,1650,5
27,킬러분식,1670,6
27,헬퍼,1866,4
27,현실퀘스트,1872,5
28,김부장,200,5
29,외모지상주의,1286,5
30,남과 여,265,4
30,돌아온 럭키짱,408,3
30,마음의 숙제,521,3
30,무한동력,593,5
30,신과함께,986,6
30,심연의 하늘 시즌 1~3,1010,1
30,심연의 하늘 시즌4,1011,1
30,조석축구만화,1496,6
30,죽음에 관하여,1525,5
31,나노마신,225,5
31,헬퍼 2 : 킬베로스,1867,1
31,1초,1992,5
32,겟백,55,5
32,나를 바꿔줘,236,5
32,대학원 탈출일지,371,6
32,독립일기,404,5
32,모죠의 일지,571,6
32,아도나이,1034,4
32,여성전용헬스장 진달래짐,1166,4
32,피라미드 게임,1781,5
34,광장,108,6
34,별이삼샵,703,5
34,청춘 블라썸,1606,1
35,갓 오브 하이스쿨,23,1
35,광마회귀,107,5
35,나 혼자 만렙 뉴비,222,3
35,나노마신,225,5
35,다이스(DICE),338,1
35,빅맨,773,3
35,선을 넘은 연애,866,4
35,신화급 귀속 아이템을 손에 넣었다,1003,4
35,어쩌다보니 천생연분,1130,4
35,역대급 영지 설계사,1178,6
35,윈드브레이커,1352,1
35,장씨세가 호위무사,1453,4
35,전지적 독자 시점,1480,5
35,프리드로우,1769,3
35,헬퍼,1866,6
35,호랑신랑뎐,1880,3
35,99강화나무몽둥이,2043,4
36,격기3반,59,5
36,빌드업,774,4
36,여성전용헬스장 진달래짐,1166,1
36,외모지상주의,1286,4
37,신의 탑,1000,5
40,갓 오브 하이스쿨,23,4
40,연애혁명,1191,1
40,외모지상주의,1286,5
41,기기괴괴,187,5
41,냐한남자,293,5
41,연애혁명,1191,5
42,김부장,200,5
42,내 남편과 결혼해줘,276,5
42,소녀의 세계,892,4
42,연애혁명,1191,2
42,재혼 황후,1461,5
42,하루만 네가 되고 싶어,1807,5
43,경자 전성시대,72,4
43,공감.jpg,94,1
43,랑데뷰,456,5
43,연애의 정령,1189,4
43,헬퍼,1866,5
43,호랑이형님,1882,5
44,남과 여,265,5
44,캐슬,1639,6
44,헬퍼,1866,1
45,중증외상센터 : 골든 아워,1532,6
45,1초,1992,6
46,개판,42,5
46,격투기특성화사립고교 극지고,60,5
46,결계녀,64,5
46,고삼이 집나갔다,85,5
46,공대생 너무만화,95,5
46,귀도호가록,145,5
46,그린보이,174,5
46,금수저,181,5
46,기사도,191,5
46,나란의사 그런의사,233,3
46,남기한엘리트만들기,266,5
46,내 ID는 강남미인! - 둘만의 시간,275,5
46,돌아온 럭키짱,408,5
46,동네변호사 조들호 시즌1,412,5
46,동네변호사 조들호 시즌2,413,5
46,리얼주주,490,5
46,마음의소리,522,5
46,마이너스의 손,523,4
46,마주쳤다,524,3
46,만렙소녀 오오라,530,5
46,머니게임,544,5
46,모태솔로수용소,572,5
46,목욕의 신,576,5
46,몽타주,580,5
46,무한동력,593,5
46,방과 후 전쟁활동,659,5
46,뱀이 앉은 자리,676,5
46,비흔,772,5
46,빙탕후루,777,5
46,사랑의 아쿠아리움,797,5
46,삼봉이발소,836,5
46,상중하,842,5
46,새끼손가락,843,6
46,서북의 저승사자,855,5
46,스토커,953,5
46,스퍼맨 시즌1,959,5
46,스퍼맨 시즌2,960,5
46,스퍼맨3: 현자단의 역습,961,5
46,스퍼맨4 : 전하지 못한 이야기,962,5
46,신과함께,986,5
46,신암행어사,997,3
46,실질객관동화,1006,5
46,싸우자귀신아,1016,4
46,쎈놈,1024,5
46,아기낳는만화,1030,5
46,아부쟁이,1042,5
46,아빠를 찾습니다,1044,4
46,아이들의 권 선생님,1055,5
46,안나라수마나라,1087,5
46,어른스러운 철구,1123,5
46,어서오세요.305호에,1128,4
46,여탕보고서,1177,5
46,역전! 야매요리,1179,5
46,연,1181,6
46,연애의 정령,1189,5
46,오빠 왔다,1249,5
