,user,webtoon_no,score
0,1,224,4.0
1,1,1190,4.0
2,1,1285,6.0
3,1,1435,4.0
4,1,1991,3.5
5,2,493,6.0
6,2,504,5.0
7,2,521,5.0
8,2,950,5.0
9,3,6,1.0
10,3,371,5.0
11,3,403,5.0
12,3,546,6.0
13,3,936,4.0
14,3,1147,3.0
15,3,1170,6.0
16,4,530,6.0
17,4,917,1.0
18,5,199,5.0
19,5,252,1.0
20,5,1017,6.0
21,6,702,6.0
22,6,773,5.0
23,6,1166,1.0
24,7,880,6.0
25,7,999,6.0
26,7,1017,6.0
27,7,1435,6.0
28,7,1638,6.0
29,8,106,6.0
30,9,98,1.0
31,9,1129,6.0
32,10,702,6.0
33,10,823,2.0
34,10,1507,5.0
35,11,22,3.0
36,11,106,5.0
37,11,527,3.0
38,11,1177,6.0
39,11,1285,1.0
40,11,1435,4.0
41,11,1649,3.0
42,11,2042,4.0
43,12,22,4.0
44,12,199,5.0
45,12,224,1.0
46,12,1113,5.0
47,12,1190,4.0
48,12,1285,5.0
49,12,1351,5.0
50,12,1435,5.0
51,12,1479,6.0
52,12,1577,5.0
53,12,1991,4.0
54,13,315,1.0
55,13,1190,2.0
56,13,1379,3.0
57,14,1902,6.0
58,15,199,5.0
59,15,252,5.0
60,15,820,5.0
61,15,1577,6.0
62,15,1866,1.0
63,15,1881,5.0
64,16,58,5.0
65,16,92,5.0
66,16,199,5.0
67,16,221,5.0
68,16,224,5.0
69,16,241,5.0
70,16,253,6.0
71,16,275,5.0
72,16,312,5.0
73,16,456,5.0
74,16,604,5.0
75,16,747,5.0
76,16,768,5.0
77,16,820,5.0
78,16,837,5.0
79,16,880,5.0
80,16,999,5.0
81,16,1017,5.0
82,16,1182,5.0
83,16,1190,5.0
84,16,1279,5.0
85,16,1285,5.0
86,16,1362,5.0
87,16,1387,5.0
88,16,1435,5.0
89,16,1479,5.0
90,16,1531,5.0
91,16,1577,5.0
92,16,1605,5.0
93,16,1638,6.0
94,16,1649,5.0
95,16,1741,5.0
