,user,webtoon_no,score
0,1,494,6.0
1,1,505,5.0
2,1,522,5.0
3,1,951,5.0
4,2,7,1.0
5,2,372,5.0
6,2,404,5.0
7,2,547,6.0
8,2,937,4.0
9,2,1148,3.0
10,2,1171,6.0
11,3,531,6.0
12,3,918,1.0
13,4,200,5.0
14,4,253,1.0
15,4,1018,6.0
16,5,703,6.0
17,5,774,5.0
18,5,1167,1.0
19,6,881,6.0
20,6,1000,6.0
21,6,1018,6.0
22,6,1436,6.0
23,6,1639,6.0
24,7,107,6.0
25,8,99,1.0
26,8,1130,6.0
27,9,703,6.0
28,9,824,2.0
29,9,1508,5.0
30,10,23,3.0
31,10,107,5.0
32,10,528,3.0
33,10,1178,6.0
34,10,1286,1.0
35,10,1436,4.0
36,10,1650,3.0
37,10,2043,4.0
38,11,23,4.0
39,11,200,5.0
40,11,225,1.0
41,11,1114,5.0
42,11,1191,4.0
43,11,1286,5.0
44,11,1352,5.0
45,11,1436,5.0
46,11,1480,6.0
47,11,1578,5.0
48,11,1992,4.0
49,12,316,1.0
50,12,1191,2.0
51,12,1380,3.0
52,13,1903,6.0
53,14,200,5.0
54,14,253,5.0
55,14,821,5.0
56,14,1578,6.0
57,14,1867,1.0
58,14,1882,5.0
59,15,59,5.0
60,15,93,5.0
61,15,200,5.0
62,15,222,5.0
63,15,225,5.0
64,15,242,5.0
65,15,254,6.0
66,15,276,5.0
67,15,313,5.0
68,15,457,5.0
69,15,605,5.0
70,15,748,5.0
71,15,769,5.0
72,15,821,5.0
73,15,838,5.0
74,15,881,5.0
75,15,1000,5.0
76,15,1018,5.0
77,15,1183,5.0
78,15,1191,5.0
79,15,1280,5.0
80,15,1286,5.0
81,15,1363,5.0
82,15,1388,5.0
83,15,1436,5.0
84,15,1480,5.0
85,15,1532,5.0
86,15,1578,5.0
87,15,1606,5.0
88,15,1639,6.0
89,15,1650,5.0
90,15,1742,5.0
91,15,1855,5.0
92,15,1857,5.0
93,15,1992,5.0
94,16,373,1.0
95,16,703,6.0
96,16,1705,5.0
97,17,986,6.0
98,18,200,3.0
99,18,242,3.0
100,18,703,6.0
101,18,748,3.0
102,18,838,4.0
103,18,976,1.0
104,18,1101,1.0
105,18,1191,4.0
106,18,1286,2.0
107,18,1352,3.0
108,18,1380,4.0
109,18,1424,4.0
110,18,1446,3.0
111,18,1453,3.0
112,18,1480,3.0
113,18,1493,4.0
114,18,1578,3.0
115,18,1650,3.0
116,18,1707,3.0
117,19,59,4.0
118,19,60,5.0
119,19,86,4.0
120,19,200,6.0
121,19,522,5.0
122,19,534,6.0
123,19,703,5.0
124,19,774,6.0
125,19,868,5.0
126,19,1009,5.0
127,19,1130,6.0
128,19,1414,5.0
129,19,1435,5.0
130,19,1479,5.0
131,19,1508,5.0
132,19,1578,6.0
133,19,1639,4.0
134,19,1676,5.0
135,19,1705,5.0
136,19,1756,4.0
137,19,1829,3.0
138,19,1866,4.0
139,19,1867,3.0
140,19,1881,4.0
141,19,1882,5.0
142,19,1903,6.0
143,20,382,4.0
144,20,1693,1.0
145,20,1815,6.0
146,20,1816,6.0
147,21,1191,6.0
148,22,1191,5.0
149,22,1644,5.0
150,22,1927,5.0
151,23,1114,5.0
152,23,1286,1.0
153,25,23,4.0
154,25,85,4.0
155,25,86,5.0
156,25,181,3.0
157,25,1000,6.0
158,25,1866,5.0
159,26,641,5.0
160,26,703,5.0
161,26,1167,2.0
162,26,1191,6.0
163,26,1508,5.0
164,26,1769,3.0
165,26,1992,6.0
166,27,200,5.0
167,27,808,6.0
168,27,821,4.0
169,27,1018,5.0
170,27,1286,5.0
171,27,1296,5.0
172,27,1352,4.0
173,27,1424,5.0
174,27,1436,4.0
175,27,1578,4.0
176,27,1592,4.0
177,27,1650,5.0
178,27,1670,6.0
179,27,1866,4.0
180,27,1872,5.0
181,28,200,5.0
182,29,1286,5.0
183,30,265,4.0
184,30,408,3.0
185,30,521,3.0
186,30,593,5.0
187,30,986,6.0
188,30,1010,1.0
189,30,1011,1.0
190,30,1496,6.0
191,30,1525,5.0
192,31,225,5.0
193,31,1867,1.0
194,31,1992,5.0
195,32,55,5.0
196,32,236,5.0
197,32,371,6.0
198,32,404,5.0
199,32,571,6.0
200,32,1034,4.0
201,32,1166,4.0
202,32,1781,5.0
203,34,108,6.0
204,34,703,5.0
205,34,1606,1.0
206,35,23,1.0
207,35,107,5.0
208,35,222,3.0
209,35,225,5.0
210,35,338,1.0
211,35,773,3.0
212,35,866,4.0
213,35,1003,4.0
214,35,1130,4.0
215,35,1178,6.0
216,35,1352,1.0
217,35,1453,4.0
218,35,1480,5.0
219,35,1769,3.0
220,35,1866,6.0
221,35,1880,3.0
222,35,2043,4.0
223,36,59,5.0
224,36,774,4.0
225,36,1166,1.0
226,36,1286,4.0
227,37,1000,5.0
228,40,23,4.0
229,40,1191,1.0
230,40,1286,5.0
231,41,187,5.0
232,41,293,5.0
233,41,1191,5.0
234,42,200,5.0
235,42,276,5.0
236,42,892,4.0
237,42,1191,2.0
238,42,1461,5.0
239,42,1807,5.0
240,43,72,4.0
241,43,94,1.0
242,43,456,5.0
243,43,1189,4.0
244,43,1866,5.0
245,43,1882,5.0
246,44,265,5.0
247,44,1639,6.0
248,44,1866,1.0
249,45,1532,6.0
250,45,1992,6.0
251,46,42,5.0
252,46,60,5.0
253,46,64,5.0
254,46,85,5.0
255,46,95,5.0
256,46,145,5.0
257,46,174,5.0
258,46,181,5.0
259,46,191,5.0
260,46,233,3.0
261,46,266,5.0
262,46,275,5.0
263,46,408,5.0
264,46,412,5.0
265,46,413,5.0
266,46,490,5.0
267,46,522,5.0
268,46,523,4.0
269,46,524,3.0
270,46,530,5.0
271,46,544,5.0
272,46,572,5.0
273,46,576,5.0
274,46,580,5.0
275,46,593,5.0
276,46,659,5.0
277,46,676,5.0
278,46,772,5.0
279,46,777,5.0
280,46,797,5.0
281,46,836,5.0
282,46,842,5.0
283,46,843,6.0
284,46,855,5.0
285,46,953,5.0
286,46,959,5.0
287,46,960,5.0
288,46,961,5.0
289,46,962,5.0
290,46,986,5.0
291,46,997,3.0
292,46,1006,5.0
293,46,1016,4.0
294,46,1024,5.0
295,46,1030,5.0
296,46,1042,5.0
297,46,1044,4.0
298,46,1055,5.0
299,46,1087,5.0
300,46,1123,5.0
301,46,1128,4.0
302,46,1177,5.0
303,46,1179,5.0
304,46,1181,6.0
305,46,1189,5.0
306,46,1249,5.0
307,46,1326,5.0
308,46,1337,4.0
309,46,1369,4.0
310,46,1382,5.0
311,46,1383,5.0
312,46,1384,5.0
313,46,1414,5.0
314,46,1423,5.0
315,46,1435,5.0
316,46,1499,5.0
317,46,1500,4.0
318,46,1502,5.0
319,46,1552,4.0
320,46,1553,4.0
321,46,1556,5.0
322,46,1557,5.0
323,46,1567,5.0
324,46,1588,5.0
325,46,1601,5.0
326,46,1612,5.0
327,46,1659,5.0
328,46,1676,5.0
329,46,1694,5.0
330,46,1737,5.0
331,46,1739,5.0
332,46,1756,5.0
333,46,1830,4.0
334,46,1866,5.0
335,46,1874,5.0
336,46,1883,5.0
337,46,1989,4.0
338,46,2028,5.0
339,46,2034,6.0
340,47,86,4.0
341,47,108,4.0
342,47,254,4.0
343,47,265,4.0
344,47,371,4.0
345,47,404,4.0
346,47,589,1.0
347,47,600,6.0
348,47,604,3.0
349,47,630,4.0
350,47,703,4.0
351,47,850,1.0
352,47,875,5.0
353,47,938,3.0
354,47,986,5.0
355,47,1119,3.0
356,47,1135,3.0
357,47,1158,4.0
358,47,1175,4.0
359,47,1286,4.0
360,47,1295,4.0
361,47,1347,6.0
362,47,1352,4.0
363,47,1358,6.0
364,47,1380,3.0
365,47,1414,5.0
366,47,1424,4.0
367,47,1508,5.0
368,47,1525,5.0
369,47,1639,4.0
370,47,1808,3.0
371,47,1836,5.0
372,47,1882,4.0
373,47,1903,5.0
374,48,108,5.0
375,48,316,1.0
376,49,774,6.0
377,50,23,5.0
378,50,151,4.0
379,50,158,1.0
380,50,213,4.0
381,50,320,5.0
382,50,352,1.0
383,50,373,1.0
384,50,404,4.0
385,50,408,1.0
386,50,421,3.0
387,50,464,6.0
388,50,465,6.0
389,50,505,5.0
390,50,507,5.0
391,50,519,5.0
392,50,546,5.0
393,50,583,5.0
394,50,647,3.0
395,50,671,3.0
396,50,681,4.0
397,50,683,3.0
398,50,723,3.0
399,50,730,4.0
400,50,747,4.0
401,50,775,5.0
402,50,820,4.0
403,50,881,4.0
404,50,885,3.0
405,50,892,4.0
406,50,915,5.0
407,50,980,4.0
408,50,1000,2.0
409,50,1027,4.0
410,50,1045,2.0
411,50,1067,4.0
412,50,1090,5.0
413,50,1103,4.0
414,50,1108,5.0
415,50,1114,3.0
416,50,1153,5.0
417,50,1191,4.0
418,50,1222,5.0
419,50,1225,2.0
420,50,1245,4.0
421,50,1283,5.0
422,50,1286,3.0
423,50,1298,5.0
424,50,1352,4.0
425,50,1367,5.0
426,50,1398,1.0
427,50,1424,5.0
428,50,1446,3.0
429,50,1465,5.0
430,50,1492,3.0
431,50,1561,3.0
432,50,1620,5.0
433,50,1667,5.0
434,50,1709,4.0
435,50,1711,3.0
436,50,1741,4.0
437,50,1785,4.0
438,50,1836,5.0
439,50,1844,3.0
440,50,1880,5.0
441,50,1881,4.0
442,50,1938,5.0
443,50,2038,2.0
444,50,2043,4.0
445,51,2,5.0
446,51,19,3.0
447,51,23,4.0
448,51,26,2.0
449,51,27,2.0
450,51,32,3.0
451,51,36,3.0
452,51,41,3.0
453,51,42,2.0
454,51,54,2.0
455,51,59,6.0
456,51,60,2.0
457,51,69,2.0
458,51,85,4.0
459,51,86,6.0
460,51,97,2.0
461,51,100,6.0
462,51,102,3.0
463,51,107,6.0
464,51,108,5.0
465,51,115,2.0
466,51,141,3.0
467,51,142,4.0
468,51,144,3.0
469,51,145,2.0
470,51,149,3.0
471,51,150,6.0
472,51,160,2.0
473,51,171,1.0
474,51,175,6.0
475,51,179,4.0
476,51,182,3.0
477,51,187,3.0
478,51,194,2.0
479,51,196,4.0
480,51,200,3.0
481,51,205,2.0
482,51,212,2.0
483,51,213,3.0
484,51,221,3.0
485,51,222,3.0
486,51,224,4.0
487,51,225,6.0
488,51,242,3.0
489,51,257,2.0
490,51,258,2.0
491,51,265,3.0
492,51,266,3.0
493,51,275,3.0
494,51,279,4.0
495,51,283,5.0
496,51,311,3.0
497,51,316,4.0
498,51,318,1.0
499,51,320,3.0
500,51,328,4.0
501,51,331,2.0
502,51,338,3.0
503,51,372,3.0
504,51,373,3.0
505,51,375,6.0
506,51,380,2.0
507,51,382,3.0
508,51,383,4.0
509,51,388,2.0
510,51,390,1.0
511,51,397,6.0
512,51,404,3.0
513,51,408,1.0
514,51,419,3.0
515,51,461,3.0
516,51,463,2.0
517,51,467,2.0
518,51,470,3.0
519,51,490,3.0
520,51,493,3.0
521,51,496,3.0
522,51,506,3.0
523,51,514,6.0
524,51,522,4.0
525,51,523,3.0
526,51,538,2.0
527,51,539,3.0
528,51,544,2.0
529,51,547,3.0
530,51,557,6.0
531,51,561,3.0
532,51,576,3.0
533,51,582,4.0
534,51,588,4.0
535,51,589,2.0
536,51,594,2.0
537,51,598,2.0
538,51,616,2.0
539,51,630,3.0
540,51,631,2.0
541,51,644,2.0
542,51,646,3.0
543,51,647,4.0
544,51,659,4.0
545,51,670,2.0
546,51,676,2.0
547,51,677,2.0
548,51,679,3.0
549,51,682,2.0
550,51,698,3.0
551,51,719,3.0
552,51,728,3.0
553,51,748,3.0
554,51,753,3.0
555,51,758,6.0
556,51,759,5.0
557,51,770,6.0
558,51,772,6.0
559,51,775,2.0
560,51,776,4.0
561,51,777,2.0
562,51,780,2.0
563,51,783,1.0
564,51,792,3.0
565,51,803,3.0
566,51,813,4.0
567,51,814,4.0
568,51,829,3.0
569,51,842,3.0
570,51,843,4.0
571,51,845,3.0
572,51,850,3.0
573,51,858,2.0
574,51,881,3.0
575,51,884,3.0
576,51,891,5.0
577,51,901,3.0
578,51,905,3.0
579,51,919,3.0
580,51,923,4.0
581,51,953,3.0
582,51,959,2.0
583,51,960,2.0
584,51,961,2.0
585,51,962,2.0
586,51,966,3.0
587,51,970,2.0
588,51,976,3.0
589,51,979,3.0
590,51,984,2.0
591,51,986,5.0
592,51,987,3.0
593,51,988,3.0
594,51,998,4.0
595,51,1000,6.0
596,51,1003,5.0
597,51,1006,2.0
598,51,1009,3.0
599,51,1010,3.0
600,51,1011,3.0
601,51,1012,3.0
602,51,1016,3.0
603,51,1018,4.0
604,51,1019,2.0
605,51,1020,3.0
606,51,1024,5.0
607,51,1036,3.0
608,51,1037,3.0
609,51,1042,4.0
610,51,1045,3.0
611,51,1047,1.0
612,51,1050,6.0
613,51,1063,2.0
614,51,1064,2.0
615,51,1067,4.0
616,51,1078,3.0
617,51,1083,3.0
618,51,1084,2.0
619,51,1097,2.0
620,51,1099,3.0
621,51,1104,3.0
622,51,1114,2.0
623,51,1119,3.0
624,51,1127,3.0
625,51,1135,3.0
626,51,1136,3.0
627,51,1137,3.0
628,51,1139,2.0
629,51,1152,3.0
630,51,1153,1.0
631,51,1167,3.0
632,51,1177,2.0
633,51,1179,2.0
634,51,1183,2.0
635,51,1191,2.0
636,51,1200,3.0
637,51,1210,3.0
638,51,1224,3.0
639,51,1232,3.0
640,51,1269,3.0
641,51,1286,4.0
642,51,1295,4.0
643,51,1299,3.0
644,51,1326,2.0
645,51,1327,2.0
646,51,1334,3.0
647,51,1335,3.0
648,51,1352,2.0
649,51,1353,6.0
650,51,1380,4.0
651,51,1382,2.0
652,51,1383,3.0
653,51,1400,3.0
654,51,1408,3.0
655,51,1414,4.0
656,51,1415,3.0
657,51,1423,3.0
658,51,1424,6.0
659,51,1426,3.0
660,51,1432,6.0
661,51,1436,4.0
662,51,1446,2.0
663,51,1453,6.0
664,51,1459,2.0
665,51,1469,3.0
666,51,1477,2.0
667,51,1480,3.0
668,51,1481,4.0
669,51,1483,3.0
670,51,1485,3.0
671,51,1500,3.0
672,51,1502,4.0
673,51,1508,3.0
674,51,1509,3.0
675,51,1525,6.0
676,51,1535,1.0
677,51,1545,1.0
678,51,1556,2.0
679,51,1557,2.0
680,51,1561,3.0
681,51,1572,1.0
682,51,1578,4.0
683,51,1588,5.0
684,51,1592,6.0
685,51,1603,1.0
686,51,1604,1.0
687,51,1612,2.0
688,51,1614,4.0
689,51,1617,1.0
690,51,1639,6.0
691,51,1654,3.0
692,51,1655,2.0
693,51,1665,1.0
694,51,1670,3.0
695,51,1671,3.0
696,51,1673,3.0
697,51,1694,1.0
698,51,1702,2.0
699,51,1705,6.0
700,51,1707,3.0
701,51,1711,2.0
702,51,1717,2.0
703,51,1720,4.0
704,51,1729,2.0
705,51,1739,3.0
706,51,1743,3.0
707,51,1747,2.0
708,51,1752,4.0
709,51,1756,2.0
710,51,1758,2.0
711,51,1759,4.0
712,51,1768,3.0
713,51,1769,3.0
714,51,1786,4.0
715,51,1795,4.0
716,51,1805,2.0
717,51,1810,2.0
718,51,1815,4.0
719,51,1816,4.0
720,51,1829,1.0
721,51,1838,2.0
722,51,1846,2.0
723,51,1859,4.0
724,51,1860,2.0
725,51,1866,3.0
726,51,1872,5.0
727,51,1874,1.0
728,51,1882,6.0
729,51,1885,3.0
730,51,1903,6.0
731,51,1922,3.0
732,51,1927,4.0
733,51,1929,3.0
734,51,1930,3.0
735,51,1938,6.0
736,51,1950,3.0
737,51,1951,3.0
738,51,1962,3.0
739,51,1966,3.0
740,51,1967,3.0
741,51,1968,3.0
742,51,1969,3.0
743,51,1970,3.0
744,51,1974,3.0
745,51,1980,1.0
746,51,1985,3.0
747,51,1992,4.0
748,51,1993,2.0
749,51,1996,3.0
750,51,1998,3.0
751,51,2000,3.0
752,51,2004,2.0
753,51,2005,3.0
754,51,2008,2.0
755,51,2014,2.0
756,51,2019,3.0
757,51,2024,3.0
758,51,2034,2.0
759,51,2038,3.0
760,52,23,4.0
761,52,31,6.0
762,52,60,3.0
763,52,86,3.5
764,52,94,3.0
765,52,95,4.0
766,52,115,4.0
767,52,142,4.0
768,52,187,6.0
769,52,188,1.0
770,52,224,1.0
771,52,227,4.0
772,52,258,4.0
773,52,266,4.0
774,52,275,4.0
775,52,289,6.0
776,52,316,3.5
777,52,318,2.0
778,52,380,4.0
779,52,383,1.0
780,52,397,4.0
781,52,422,3.0
782,52,473,4.0
783,52,479,3.0
784,52,516,3.0
785,52,748,3.5
786,52,824,3.5
787,52,923,3.0
788,52,978,4.5
789,52,1021,4.0
790,52,1050,3.0
791,52,1081,4.0
792,52,1114,4.0
793,52,1142,6.0
794,52,1152,3.5
795,52,1175,3.0
796,52,1189,4.0
797,52,1191,4.0
798,52,1228,6.0
799,52,1286,3.0
800,52,1306,6.0
801,52,1322,3.0
802,52,1327,2.0
803,52,1352,4.0
804,52,1358,5.0
805,52,1389,4.0
806,52,1444,4.0
807,52,1459,3.0
808,52,1477,4.0
809,52,1502,4.0
810,52,1508,3.5
811,52,1601,4.0
812,52,1617,4.0
813,52,1673,6.0
814,52,1720,3.0
815,52,1747,3.5
816,52,1756,6.0
817,52,1769,4.0
818,52,1815,4.0
819,52,1816,4.0
820,52,1906,3.5
821,52,1927,4.0
822,52,1950,3.0
823,52,1987,3.0
824,53,1050,1.0
825,53,1709,6.0
826,54,200,5.0
827,54,1191,2.0
828,54,1578,5.0
829,54,1992,5.0
830,54,2043,5.0
831,55,200,4.0
832,55,282,3.0
833,55,289,5.0
834,55,404,5.0
835,55,546,5.0
836,55,875,4.0
837,56,251,5.0
838,56,283,5.0
839,56,404,5.0
840,56,460,4.0
841,56,505,5.0
842,56,571,5.0
843,56,868,3.0
844,56,871,4.0
845,56,875,5.0
846,56,988,4.0
847,56,1000,4.0
848,56,1138,3.0
849,56,1179,4.0
850,56,1191,5.0
851,56,1352,4.0
852,56,1480,3.0
853,56,1508,3.0
854,56,1561,5.0
855,56,1661,4.0
856,56,1709,5.0
857,56,1801,4.0
858,56,1866,3.0
859,56,1903,5.0
860,57,35,6.0
861,57,55,6.0
862,57,59,6.0
863,57,173,6.0
864,57,207,6.0
865,57,236,6.0
866,57,283,6.0
867,57,289,6.0
868,57,364,6.0
869,57,418,1.0
870,57,443,6.0
871,57,450,6.0
872,57,456,6.0
873,57,477,6.0
874,57,505,6.0
875,57,552,6.0
876,57,604,6.0
877,57,608,6.0
878,57,630,6.0
879,57,911,6.0
880,57,937,6.0
881,57,1070,6.0
882,57,1116,6.0
883,57,1117,6.0
884,57,1237,6.0
885,57,1347,6.0
886,57,1380,6.0
887,57,1479,6.0
888,57,1561,6.0
889,57,1615,6.0
890,57,1648,6.0
891,57,1735,6.0
892,57,1749,6.0
893,57,1763,6.0
894,57,1781,6.0
895,57,1807,6.0
896,57,1881,6.0
897,57,1903,6.0
898,57,1992,6.0
899,58,143,4.0
900,58,338,1.0
901,58,372,3.0
902,58,673,2.0
903,58,1000,3.0
904,58,1228,5.0
905,58,1286,1.0
906,58,1358,5.0
907,58,1381,5.0
908,58,1461,4.0
909,58,1486,5.0
910,58,1709,4.0
911,58,1801,3.0
912,58,1807,5.0
913,58,1903,5.0
