,no,keyword,type
0,1,로맨스,1
1,2,소년왕도물,1
2,2,판타지,1
3,3,최강자전,4
4,3,2018 최강자전,4
5,3,드라마,1
6,4,최강자전,4
7,4,2017 최강자전,6
8,4,농구,2
9,4,스포츠성장,2
10,4,스포츠,1
11,5,최강자전,4
12,5,2019 최강자전,4
13,5,게임판타지,2
14,5,판타지,1
15,6,개그,1
16,7,드라마&영화 원작웹툰,6
17,7,일상,1
18,8,2020 지상최대공모전,4
19,8,계약연애,5
20,8,연예계,2
21,8,삼각관계,5
22,8,로맨스,1
23,9,드라마,1
24,10,소꿉친구,5
25,10,2021 지상최대공모전,6
26,10,계약연애,5
27,10,학원로맨스,2
28,10,친구>연인,5
29,10,로맨스,1
30,11,사이비종교,2
31,11,스릴러,1
32,12,캠퍼스로맨스,2
33,12,로맨스,1
34,13,학원로맨스,2
35,13,로맨스,1
36,14,로맨스,1
37,15,학원물,6
38,15,액션,1
39,16,로맨스,1
40,16,소설원작,6
41,17,스릴러,1
42,18,오피스로맨스,2
43,18,사내연애,2
44,18,로맨스,1
45,18,소설원작,6
46,19,스릴러,1
47,19,성인웹툰,1
48,20,병맛,3
49,20,음식요리,2
50,20,개그,1
51,21,2019 지상최대공모전,4
52,21,스릴러,1
53,22,개그,1
54,23,이능력배틀물,1
55,23,먼치킨,2
56,23,판타지,1
57,24,개그,1
58,25,드라마,1
59,26,타임슬립,2
60,26,드라마,1
61,27,판타지,1
62,28,판타지,1
63,29,2019 지상최대공모전,4
64,29,판타지,1
65,30,액션,1
66,31,로맨스,1
67,32,스릴러,1
68,33,2020 지상최대공모전,4
69,33,하이틴,2
70,33,학원로맨스,2
71,33,로맨스,1
72,34,로맨스,1
73,35,동물,2
74,35,감성드라마,3
75,35,드라마,1
76,36,2019 지상최대공모전,4
77,36,스릴러,1
78,37,드라마,1
79,38,병맛,3
80,38,동물,2
81,38,판타지,1
82,39,힐링,3
83,39,성장드라마,2
84,39,동물,2
85,39,드라마,1
86,40,스릴러,1
87,41,프리퀄,1
88,41,아포칼립스,2
89,41,느와르,1
90,41,판타지,1
91,42,액션,1
92,43,일상,1
93,44,로맨스,1
94,45,병맛,3
95,45,개그,1
96,46,2020 지상최대공모전,4
97,46,서스펜스,3
98,46,머니게임,2
99,46,스릴러,1
100,47,비밀연애,2
101,47,전남친,5
102,47,로맨스,1
103,48,스릴러,1
104,49,드라마,1
105,50,학원로맨스,2
106,50,하이틴,2
107,50,성장드라마,2
108,50,삼각관계,5
109,50,로맨스,1
110,51,액션,1
111,52,판타지,1
112,52,소설원작,6
113,53,액션,1
114,54,판타지,1
115,55,최강자전,4
116,55,2018 최강자전,4
117,55,서스펜스,3
118,55,드라마,1
119,56,로맨스,1
120,56,소설원작,6
121,57,감성,3
122,58,판타지,1
123,59,환골탈태,2
124,59,격투기,2
125,59,스포츠,1
126,60,격투기,2
127,60,액션,1
128,61,드라마,1
129,62,로맨스,1
130,63,일상,1
131,64,로맨스,1
132,65,이능력배틀물,1
133,65,드라마,1
134,66,로맨스코미디,1
135,66,청춘로맨스,2
136,66,캠퍼스로맨스,2
137,66,로맨스,1
138,67,2020 지상최대공모전,4
139,67,학원로맨스,2
140,67,성장드라마,2
141,67,삼각관계,5
142,67,로맨스,1
143,68,일상,1
144,69,2019 지상최대공모전,4
145,69,사이다,3
146,69,액션,1
147,70,서바이벌,2
148,70,2021 지상최대공모전,6
149,70,스릴러,1
150,71,개그,1
151,72,병맛,3
152,72,개그,1
153,73,드라마&영화 원작웹툰,6
154,73,드라마,1
155,74,일상,1
156,75,일상,1
157,76,판타지,1
158,77,드라마,1
159,78,드라마,1
160,79,드라마,1
161,80,드라마,1
162,81,병맛,3
163,81,개그,1
164,82,성장드라마,2
165,82,로맨스,1
166,83,하이틴,2
167,83,청춘로맨스,2
168,83,로맨스,1
169,84,액션,1
170,85,드라마,1
171,86,복수극,2
172,86,먼치킨,2
173,86,판타지,1
174,87,일상,1
