,no,title,link,status,author,fake_intro,real_intro,likes,episodes,first_register_date,last_register_date,age,rate,genre1_pre,genre2_pre,thumb_link
0,1,가난을 등에 업은 소녀,https://comic.naver.com/webtoon/list?titleId=756056,1,B급달궁 / 오은지,흔하디 흔한 재벌후계자와 캔디도 울고 갈 박복한 가난소녀의 파란만장 동거기!인기작 <다세포소녀>의 웹툰판! 만화 내에서 정말 유일하게 제대로 된 사고방식을 가지고 있는 소녀. 하지만 등에 업고 있는 '가난' 때문에 참 많이 고생을 한다. 오죽하면 실사판에서도 등에 '가난' 인형을 업고 있다.,흔하디 흔한 재벌후계자와 캔디도 울고 갈 박복한 가난소녀의 파란만장 동거기!인기작 <다세포소녀>의 웹툰판!,344,28.0,2020.10.19,2020.10.19,0,9.6,0,0,https://shared-comic.pstatic.net/thumb/webtoon/756056/thumbnail/thumbnail_IMAG10_a24bd6d3-7728-4f03-bb60-261f8749d49e.jpg
1,2,가담항설,https://comic.naver.com/webtoon/list?titleId=670144,1,랑또,"이번 주인공은 돌이다!돌이지만 동료도 모으고 악당도 물리친다!랑또 작가표 동양 판타지 소년만화 능력은 있지만 신분을 벗어나지 못한 노비의 소원 덕택에 돌이 사람이 되고 콤비가 된 둘은 왕에게 자신들의 모험담을 알리기위해 떠난다는 동양 판타지 소년 만화다. 작가가 작가인지라 숱한 개그로 작품성이 흐트러질까 걱정하는 시선도 있었지만, 기본적으로 소년 왕도물을 철저히 따라간다. 중간중간 코미디적인 분위기도 있지만, 기본 전개와는 철저히 구별되어 나타난다.",이번 주인공은 돌이다!돌이지만 동료도 모으고 악당도 물리친다!랑또 작가표 동양 판타지 소년만화,100000,247.0,2016.06.01,2016.08.03,1,9.9,0,2,https://shared-comic.pstatic.net/thumb/webtoon/670144/thumbnail/title_thumbnail_20151230192753_t83x90.jpg
2,3,가령의 정체불명 이야기,https://comic.naver.com/webtoon/list?titleId=732071,1,가령,어느 날... 인어가 내게 말을 걸어왔다. 눈을 떠보니 총구가 있었다. 그리고 몸이 연기처럼 사라지기 시작했다. 판타지보다 비현실적인 우리의 회색빛 이야기.,어느 날... 인어가 내게 말을 걸어왔다. 눈을 떠보니 총구가 있었다. 그리고 몸이 연기처럼 사라지기 시작했다. 판타지보다 비현실적인 우리의 회색빛 이야기.,38392,25.0,2019.08.19,2019.09.02,2,9.9,2,1,https://shared-comic.pstatic.net/thumb/webtoon/732071/thumbnail/thumbnail_IMAG10_0c96b047-dba2-40c8-8558-8622a8d53d9b.jpg
3,4,가비지타임,https://comic.naver.com/webtoon/list?titleId=703844,0,2사장,"한국 최초 한국형 고교스포츠 웹툰!열혈따윈 개나 줘, 낙오자들 뿐인 농구부의 운명은? 전국 최약체로 손꼽히는 지상고등학교 농구부에 새로운 감독이 부임하면서 일어나는 에피소드를 담고 있다. KBL에서 뛰었던 천기범선수가 재학중이던 시절 부산중앙고등학교 농구부[3]를 모티브로 한 작품이다.","한국 최초 한국형 고교스포츠 웹툰!열혈따윈 개나 줘, 낙오자들 뿐인 농구부의 운명은?",81510,149.0,2022.05.07,2022.11.19,0,9.9,0,9,https://shared-comic.pstatic.net/thumb/webtoon/703844/thumbnail/thumbnail_IMAG10_066e135a-2899-4b96-8ec1-7c633d616e1f.jpg
4,5,가상&RPG,https://comic.naver.com/webtoon/list?titleId=785701,0,주다현,"""사람은 좀 죽여도 싸우는건 싫어해요."" 게임에서조차 집 바깥을 나가지 않는 '제리'. 전투는 한 번도 안해봤는데, 에픽 무기가 귀속되었다? 가상현실 액션 RPG 모브사가 온라인. 그 고인물들의 군상극.","""사람은 좀 죽여도 싸우는건 싫어해요."" 게임에서조차 집 바깥을 나가지 않는 '제리'. 전투는 한 번도 안해봤는데, 에픽 무기가 귀속되었다? 가상현실 액션 RPG 모브사가 온라인. 그 고인물들의 군상극.",357,42.0,2022.08.17,2022.10.19,1,9.9,0,2,https://shared-comic.pstatic.net/thumb/webtoon/785701/thumbnail/thumbnail_IMAG10_1daf0900-0f55-4fc7-a59e-0ec3e975409a.jpg
5,6,가슴털 로망스,https://comic.naver.com/webtoon/list?titleId=729963,1,갸오오,최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들명언범벅 눈물범벅 의리범벅 개그만화! 최고의 상남자가 되기 위해 이미 충분히 상남자인데도 여행을 하는 장호풍의 이야기를 다룬다. 가슴털과 근육이 숨막히게 많은 마초들과 콧구멍맨의 협력을 받은듯한 명언이 넘치는 감동만화. 사나이의 도시 잠실로 향하면서부터는 능력자 배틀물로 변질(...)되었다. 근데 명언이 넘치는 사나이들의 이야기라는 것은 상관없이 같다,최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들명언범벅 눈물범벅 의리범벅 개그만화!,54594,137.0,2021.11.25,2022.01.27,0,9.95,0,5,https://shared-comic.pstatic.net/thumb/webtoon/729963/thumbnail/thumbnail_IMAG10_43c309d8-19f8-4ad6-8ad4-707208fbaeb0.jpg
6,7,가우스전자,https://comic.naver.com/webtoon/list?titleId=799793,1,곽백수,다국적 문어발 기업 가우스전자 마케팅3부 이야기곽백수 작가가 선보이는 본격 직장인 만화! 개그물이지만 블랙 코미디의 성격이 강하다,다국적 문어발 기업 가우스전자 마케팅3부 이야기곽백수 작가가 선보이는 본격 직장인 만화!,17,417.0,2022.09.21,2022.09.21,0,9.4,1,6,https://shared-comic.pstatic.net/thumb/webtoon/799793/thumbnail/thumbnail_IMAG10_139f4342-76bc-4c3c-bc9d-cae409193d13.jpg
7,8,가족같은 XX,https://comic.naver.com/webtoon/list?titleId=790239,0,서우현,"탑 배우 한나나는 우연히 갈 곳 없는 고등학생 유성우를 집에 들인다.아슬아슬한 동거가 시작된 가운데, 갑자기 좋아하던 선배 이한이 다가오기 시작하는데..?!가족 같은 남자와 가족이 되고 싶은 남자, 누가 진짜 가족이 될까?","탑 배우 한나나는 우연히 갈 곳 없는 고등학생 유성우를 집에 들인다.아슬아슬한 동거가 시작된 가운데, 갑자기 좋아하던 선배 이한이 다가오기 시작하는데..?!가족 같은 남자와 가족이 되고 싶은 남자, 누가 진짜 가족이 될까?",334,44.0,2022.09.21,2022.11.23,2,9.9,0,0,https://shared-comic.pstatic.net/thumb/webtoon/790239/thumbnail/thumbnail_IMAG10_04f93d8c-988d-499c-b673-b05aa00ed77a.jpg
8,9,가족의 초상,https://comic.naver.com/webtoon/list?titleId=753385,1,김승택,"할머니의 죽음과 그로 인한 가족들의 변화를 겪어 나가면서, 당연하게만 생각했던 가족의 소중함을 깨닫게 되는 이야기이다.","할머니의 죽음과 그로 인한 가족들의 변화를 겪어 나가면서, 당연하게만 생각했던 가족의 소중함을 깨닫게 되는 이야기이다.",222,47.0,2020.09.28,2020.09.28,1,9.5,1,1,https://shared-comic.pstatic.net/thumb/webtoon/753385/thumbnail/thumbnail_IMAG10_13ca7cac-0ad7-47d1-b844-6833f40b9e5e.jpg
9,10,가짜 동맹,https://comic.naver.com/webtoon/list?titleId=788167,0,케냠,소꿉친구와 하루아침에 커플이 되었다?!통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’.동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다! 2021 네이버웹툰 지상최대 공모전 웹툰 부문 1기 장려상 수상작이다,소꿉친구와 하루아침에 커플이 되었다?!통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’.동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다!,624,50.0,2022.09.20,2022.11.22,0,9.9,0,0,https://shared-comic.pstatic.net/thumb/webtoon/788167/thumbnail/thumbnail_IMAG10_c57ca45f-4229-4a8c-9500-1684a3926aa7.jpg
