,popularity_order_finished_work_pure,female_reader_popularity_order_finished_work_pure,male_reader_popularity_order_finished_work_pure,hit_order_finished_work_pure,popularity_order_finished_work_action,female_reader_popularity_order_finished_work_action,male_reader_popularity_order_finished_work_action,hit_order_finished_work_action,popularity_order_finished_work_sports,female_reader_popularity_order_finished_work_sports,male_reader_popularity_order_finished_work_sports,hit_order_finished_work_sports,popularity_order_finished_work_thrill,female_reader_popularity_order_finished_work_thrill,male_reader_popularity_order_finished_work_thrill,hit_order_finished_work_thrill,popularity_order_finished_work_fantasy,female_reader_popularity_order_finished_work_fantasy,male_reader_popularity_order_finished_work_fantasy,hit_order_finished_work_fantasy,popularity_order_finished_work_drama,female_reader_popularity_order_finished_work_drama,male_reader_popularity_order_finished_work_drama,hit_order_finished_work_drama,popularity_order_finished_work_daily,female_reader_popularity_order_finished_work_daily,male_reader_popularity_order_finished_work_daily,hit_order_finished_work_daily,popularity_order_finished_work_comic,female_reader_popularity_order_finished_work_comic,male_reader_popularity_order_finished_work_comic,hit_order_finished_work_comic,popularity_order_finished_work_sensibility,female_reader_popularity_order_finished_work_sensibility,male_reader_popularity_order_finished_work_sensibility,hit_order_finished_work_sensibility,popularity_order_finished_work_historical,female_reader_popularity_order_finished_work_historical,male_reader_popularity_order_finished_work_historical,hit_order_finished_work_historical,popularity_order_finished_work_episode,female_reader_popularity_order_finished_work_episode,male_reader_popularity_order_finished_work_episode,hit_order_finished_work_episode,popularity_order_finished_work_omnibus,female_reader_popularity_order_finished_work_omnibus,male_reader_popularity_order_finished_work_omnibus,hit_order_finished_work_omnibus,popularity_order_finished_work_story,female_reader_popularity_order_finished_work_story,male_reader_popularity_order_finished_work_story,hit_order_finished_work_story
1,이번 생도 잘 부탁해,이번 생도 잘 부탁해,이번 생도 잘 부탁해,[드라마원작] 유미의 세포들,100,싸이코 리벤지,100,소녀더와일즈,더 복서,더 복서,더 복서,더 복서,온에어,온에어,기묘한 만화,기기괴괴,갓 오브 하이스쿨,갓 오브 하이스쿨,갓 오브 하이스쿨,갓 오브 하이스쿨,나의 플랏메이트,나의 플랏메이트,별이삼샵,공복의 저녁식사,독립일기,독립일기,독립일기,2016 학교 다녀오겠습니다,죄송한데 주인공이세요?,죄송한데 주인공이세요?,죄송한데 주인공이세요?,낚시신공,연우의 순정,연우의 순정,연우의 순정,밥 먹고 갈래요?,화산귀환,화산귀환,화산귀환,화산귀환,독립일기,독립일기,독립일기,[드라마원작] 유미의 세포들,조조코믹스,조조코믹스,조조코믹스,기기괴괴,이번 생도 잘 부탁해,이번 생도 잘 부탁해,갓 오브 하이스쿨,스피릿 핑거스
2,조조코믹스,조조코믹스,조조코믹스,스피릿 핑거스,싸이코 리벤지,100,초인의 시대,인생존망,조석축구만화,조석축구만화,조석축구만화,그린보이,기묘한 만화,기묘한 만화,거래,악의는 없다,신의 탑,그 기사가 레이디로 사는 법,신의 탑,신의 탑,별이삼샵,여우놀이,리트리츠,복학왕,가우스전자,가우스전자,가우스전자,2017 사이다를 부탁해!,놓지마 정신줄,놓지마 정신줄,이말년씨리즈,마음의소리,밥 먹고 갈래요?,밥 먹고 갈래요?,밥 먹고 갈래요?,환생동물학교,비흔,문아,비흔,마루한 - 구현동화전,놓지마 정신줄,놓지마 정신줄,가우스전자,밥 먹고 갈래요?,기묘한 만화,기묘한 만화,이말년씨리즈,2015 소름,갓 오브 하이스쿨,나의 플랏메이트,이번 생도 잘 부탁해,갓 오브 하이스쿨
3,그들이 사귀는 세상,그들이 사귀는 세상,그들이 사귀는 세상,오!주예수여,초인의 시대,사신소년,투신전생기,전설의 레전드,라이징패스트볼,파도를 찾아라!,라이징패스트볼,파도를 찾아라!,거래,거래,침묵의 밤,후레자식,그 기사가 레이디로 사는 법,기사님을 지켜줘,갓트,하이브 1~2,여우놀이,별이삼샵,금수저,용이산다,즐거우리 우리네 인생,즐거우리 우리네 인생,한국만화 1990,독립일기,놓지마 정신줄 시즌2,놓지마 정신줄 시즌2,놓지마 정신줄,대학일기,다함께 이겨내요,다함께 이겨내요,다함께 이겨내요,겨울동화,용비불패 완전판,비흔,용비불패 완전판,비흔,가우스전자,놓지마 정신줄 시즌2,놓지마 정신줄,슈퍼 시크릿,이말년씨리즈,즐거우리 우리네 인생,기묘한 만화,2011 미스테리 단편,나의 플랏메이트,그들이 사귀는 세상,화산귀환,신의 탑
4,엔딩 후 서브남을 주웠다,엔딩 후 서브남을 주웠다,엔딩 후 서브남을 주웠다,[드라마원작] 내 ID는 강남미인!,투신전생기,몬스터,캐슬,부활남,그린보이,라이징패스트볼,그린보이,조석축구만화,침묵의 밤,그녀의 육하원칙,온에어,2015 소름,기사님을 지켜줘,신의 탑,지구식 구원자 전형,노블레스,금수저,금수저,하드캐리,마주쳤다,2020 최애캐의 MBTI,2020 최애캐의 MBTI,하루 3컷,아기낳는만화,이말년씨리즈,모죠의 일지,놓지마 정신줄 시즌2,놓지마 정신줄,환생동물학교,환생동물학교,환생동물학교,우리집에 곰이 이사왔다,천국의 신화,용비불패 완전판,천국의 신화,용비불패 완전판,놓지마 정신줄 시즌2,가우스전자,한림체육관,내 ID는 강남미인! - 둘만의 시간,미물,미물,미물,2015 사이,그들이 사귀는 세상,엔딩 후 서브남을 주웠다,신의 탑,하이브 1~2
5,재혼 황후,재혼 황후,찌질하지만 로맨스는 하고 싶어,이번 생도 잘 부탁해,캐슬,정글쥬스,싸이코 리벤지,폭풍의 전학생,파도를 찾아라!,그린보이,군주,라이징패스트볼,그녀의 육하원칙,침묵의 밤,미물,폰령,지구식 구원자 전형,화이트 블러드,고수,스퍼맨 시즌1,리트리츠,시벨롬 리스트,나의 플랏메이트,[드라마원작] 한번 더 해요,한국만화 1990,한국만화 1990,골방환상곡,천적,모죠의 일지,2022 서브병에 빠지다!,마음의소리,야부리맨,플랫다이어리,플랫다이어리,일편단심화,오늘도 핸드메이드!,천국의 신화 6부,천국의 신화,천국의 신화 6부,혈투,한림체육관,모죠의 일지,놓지마 정신줄 시즌2,마음의소리,즐거우리 우리네 인생,이말년씨리즈,2020 호랑 공포 단편선,2017 사이다를 부탁해!,화산귀환,재혼 황후,100,오!주예수여
6,구남친이 내게 반했다,구남친이 내게 반했다,"나를 길들여 봐, 차비서",슈퍼 시크릿,사신소년,투신전생기,사신소년,상중하,군주,리턴,파도를 찾아라!,미드나잇 체이서,미물,미물,존망코인,2011 미스테리 단편,화이트 블러드,신과함께,뫼신 사냥꾼,고수,시벨롬 리스트,정년이,내과 박원장,공주는 잠 못 이루고,하루 3컷,일상날개짓,터치! 메리크리스마스,하루 3컷,2022 서브병에 빠지다!,대학일기,조선왕조실톡,달수 이야기,일편단심화,모퉁이 뜨개방,플랫다이어리,홍차리브레,마루한 - 구현동화전,천국의 신화 6부,마루한 - 구현동화전,천국의 신화,모죠의 일지,2022 서브병에 빠지다!,마음의소리,대학일기,2020 호랑 공포 단편선,2020 호랑 공포 단편선,덴마,귀도,엔딩 후 서브남을 주웠다,갓 오브 하이스쿨,죄송한데 주인공이세요?,악의는 없다
7,"나를 길들여 봐, 차비서","나를 길들여 봐, 차비서",구남친이 내게 반했다,내 ID는 강남미인! - 둘만의 시간,죽지 않으려면,한림체육관,죽지 않으려면,사신소년,불릿 6미리,불릿 6미리,불릿 6미리,군주,2022 스크롤금지,더 나우,2020 호랑 공포 단편선,귀도,갓트,지구식 구원자 전형,만렙돌파,신과함께,"저무는 해, 시린 눈","저무는 해, 시린 눈",특수청소,평범한 8반,달콤한 인생,달콤한 인생,즐거우리 우리네 인생,엄마와 딸 x2,조선왕조실톡,조선왕조실톡,선천적 얼간이들,연애의 정령,모퉁이 뜨개방,우리집에 곰이 이사왔다,움비처럼,소녀 연대기,문아,조선방랑야사,삵의 발톱,천국의 신화 6부,2022 서브병에 빠지다!,2022 그걸 네가 왜!,조선왕조실톡,놓지마 정신줄,놓정동화,고등단편.zip,하루 3컷,2016 비명,신의 탑,온에어,별이삼샵,공복의 저녁식사
8,미혼남녀의 효율적 만남,미혼남녀의 효율적 만남,재혼 황후,2015 사이,한림체육관,죽지 않으려면,한림체육관,검은인간,미드나잇 체이서,미드나잇 체이서,미드나잇 체이서,불릿 6미리,안개무덤,2022 스크롤금지,2022 스크롤금지,2016 비명,신과함께,골든 체인지,신과함께,이런 영웅은 싫어,정년이,칼가는 소녀,"2021 최애캐 안녕, 잘 지내니?",여중생A,일상날개짓,소장,2020 최애캐의 MBTI,아랫집 시누이,마음의소리,이말년씨리즈,이말년씨리즈 2018,조선왕조실톡,우리집에 곰이 이사왔다,마음의 숙제,모퉁이 뜨개방,1인용 기분,삵의 발톱,마루한 - 구현동화전,혈투,문아,"2021 최애캐 안녕, 잘 지내니?",칼가는 소녀,"2021 최애캐 안녕, 잘 지내니?",인생존망,이말년씨리즈 2018,소장,이말년씨리즈 2018,놓정동화,죄송한데 주인공이세요?,구남친이 내게 반했다,초인의 시대,복학왕
9,빨간맛 로맨스,빨간맛 로맨스,미혼남녀의 효율적 만남,오늘도 사랑스럽개,경비 배두만,캐슬,경비 배두만,테러맨,리턴,군주,리턴,리턴,미신,안개무덤,미신,조의 영역,뫼신 사냥꾼,마계인섬,노블레스,하이브 3,"2021 최애캐 안녕, 잘 지내니?","2021 최애캐 안녕, 잘 지내니?",예쁜 사나이,찌질의 역사,소장,2017 사이다를 부탁해!,모두에게 완자가,오늘 밤은 어둠이 무서워요,대학일기,마음의소리,대학일기,오늘도 형제는 평화롭다,마음의 숙제,다시 또 봄,다시 또 봄,모퉁이 뜨개방,묵회,묵회,묵회,왕으로 살다,2022 그걸 네가 왜!,"2021 최애캐 안녕, 잘 지내니?",인생존망,2016 학교 다녀오겠습니다,하루 3컷,2017 사이다를 부탁해!,죽음에 관하여,죽음에 관하여,재혼 황후,화산귀환,투신전생기,낚시신공
10,불편한 관계,불편한 관계,불편한 관계,철벽! 연애 시뮬레이션,몬스터,초인의 시대,테러대부활,캐슬,,,,,더 나우,오버더문,안개무덤,[드라마원작] 스위트홈,고수,그녀는 가면을 쓴다,그 기사가 레이디로 사는 법,나노리스트,칼가는 소녀,리트리츠,"저무는 해, 시린 눈",금수저,2017 사이다를 부탁해!,낢이 사는 이야기,노곤하개,골방환상곡,놓정동화,수능일기,2022 서브병에 빠지다!,놓정동화,다시 또 봄,오늘도 핸드메이드!,우리집에 곰이 이사왔다,연우의 순정,혈투,흐드러지다,문아,"아이소포스 1, 2부",조선왕조실톡,대학일기,쇼미더럭키짱!,조선왕조실톡,고등단편.zip,놓정동화,놓정동화,싸우자귀신아,별이삼샵,"나를 길들여 봐, 차비서",캐슬,후레자식
