제목,완결작_로맨스_인기순,완결작_로맨스_여성_인기순,완결작_로맨스_남성_인기순,완결작_로맨스_조회순,완결작_액션_인기순,완결작_액션_여성_인기순,완결작_액션_남성_인기순,완결작_액션_조회순,완결작_스포츠_인기순,완결작_스포츠_여성_인기순,완결작_스포츠_남성_인기순,완결작_스포츠_조회순,완결작_스릴러_인기순,완결작_스릴러_여성_인기순,완결작_스릴러_남성_인기순,완결작_스릴러_조회순,완결작_판타지_인기순,완결작_판타지_여성_조회순,완결작_판타지_남성_조회순,완결작_판타지_조회순,완결작_드라마_인기순,완결작_드라마_여성_인기순,완결작_드라마_남성_인기순,완결작_드라마_조회순,완결작_일상_인기순,완결작_일상_여성_조회순,완결작_일상_남성_인기순,완결작_일상_조회순,완결작_개그_인기순,완결작_개그_여성_인기순,완결작_개그_남성_인기순,완결작_개그_조회순,완결작_감성_인기순,완결작_감성_여성_인기순,완결작_감성_남성_인기순,완결작_감성_조회순,완결작_무협/사극_인기순,완결작_무협/사극_여성_인기순,완결작_무협/사극_남성_인기순,완결작_무협/사극_조회순,완결작_에피소드_인기순,완결작_에피소드_여성_인기순,완결작_에피소드_남성_인기순,완결작_에피소드_조회순,완결작_옴니버스_인기순,완결작_옴니버스_여성_인기순,완결작_옴니버스_남성_인기순,완결작_옴니버스_조회순,완결작_스토리_인기순,완결작_스토리_여성_인기순,완결작_스토리_남성_인기순,완결작_스토리_조회순
이번 생도 잘 부탁해,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,15
조조코믹스,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,24,0,0,0,0
그들이 사귀는 세상,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,25,0
엔딩 후 서브남을 주웠다,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0
재혼 황후,5,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0
구남친이 내게 반했다,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0
"나를 길들여 봐, 차비서",7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0
미혼남녀의 효율적 만남,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,0,0
빨간맛 로맨스,9,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0,0
불편한 관계,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0
