제목,월요일_인기순위,화요일_인기순위,수요일_인기순위,목요일_인기순위,금요일_인기순위,토요일_인기순위,일요일_인기순위,매일플러스_인기순위,월요일_여성_인기순위,화요일_여성_인기순위,수요일_여성_인기순위,목요일_여성_인기순위,금요일_여성_인기순위,토요일_여성_인기순위,일요일_여성_인기순위,매일플러스_여성_인기순위,월요일_남성_인기순위,화요일_남성_인기순위,수요일_남성_인기순위,목요일_남성_인기순위,금요일_남성_인기순위,토요일_남성_인기순위,일요일_남성_인기순위,매일플러스_남성_인기순위,월요일_조회순위,화요일_조회순위,수요일_조회순위,목요일_조회순위,금요일_조회순위,토요일_조회순위,일요일_조회순위,매일플러스_조회순위
참교육,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
버림받은 왕녀의 은밀한 침실,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
팔이피플,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
뷰티풀 군바리,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
퀘스트지상주의,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
장씨세가 호위무사,6,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
소녀의 세계,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
윈드브레이커,8,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
호랑신랑뎐,9,0,0,6,0,0,0,0,5,0,0,6,0,0,0,0,12,0,0,13,0,0,0,0,10,0,0,7,0,0,0,0
물어보는 사이,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
앵무살수,11,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
똑 닮은 딸,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
신화급 귀속 아이템을 손에 넣었다,13,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
북부 공작님을 유혹하겠습니다,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
순정말고 순종,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
오빠집이 비어서,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
퍼니게임,17,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
이별 후 사내 결혼,18,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
황제와의 하룻밤,19,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
절대검감,20,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"또다시, 계약 부부",21,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
백수세끼,22,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
꼬리잡기,23,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
잔불의 기사,24,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
다시쓰는 연애사,25,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
리턴 투 플레이어,26,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
결혼생활 그림일기,27,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
사이다걸,28,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
이제야 연애,29,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
"아, 쫌 참으세요 영주님!",30,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
루루라라 우리네 인생,31,0,0,32,0,0,0,0,22,0,0,20,0,0,0,0,49,0,0,46,0,0,0,0,53,0,0,60,0,0,0,0
원작은 완결난 지 한참 됐습니다만,32,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
제왕: 빛과 그림자,33,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
아슈타르테,34,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
퇴근 후에 만나요,35,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
입술이 예쁜 남자,36,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
미니어처 생활백서,37,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
인섹터,38,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
굿바이 유교보이,39,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
헬크래프트,40,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
더블클릭,41,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
오늘의 비너스,42,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
랭커,43,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
히어로메이커,44,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
우산 없는 애,45,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
파운더,46,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
수영만화일기,47,0,0,51,0,0,0,0,36,0,0,37,0,0,0,0,50,0,0,47,0,0,0,0,60,0,0,64,0,0,0,0
