,title,webtoon_link,status,thumb_link,auth,genres,ages,intro,series_url,likes,r_rated,episodes,first_register_date,last_register_date,rates,ages2,rates2,genre1,genre2,genre1_pre,genre2_pre
0,가난을 등에 업은 소녀,https://comic.naver.com/webtoon/list?titleId=756056,1,https://shared-comic.pstatic.net/thumb/webtoon/756056/thumbnail/thumbnail_IMAG10_a24bd6d3-7728-4f03-bb60-261f8749d49e.jpg,B급달궁 / 오은지,"스토리, 로맨스",전체연령가,흔하디 흔한 재벌후계자와 캔디도 울고 갈 박복한 가난소녀의 파란만장 동거기!인기작 <다세포소녀>의 웹툰판!,https://series.naver.com/comic/detail.series?originalProductId=354928,344,0,28.0,2020.10.19,2020.10.19,9.6,0,9.6,스토리,로맨스,0,0
1,가담항설,https://comic.naver.com/webtoon/list?titleId=670144,1,https://shared-comic.pstatic.net/thumb/webtoon/670144/thumbnail/title_thumbnail_20151230192753_t83x90.jpg,랑또,"스토리, 판타지",12세 이용가,이번 주인공은 돌이다!돌이지만 동료도 모으고 악당도 물리친다!랑또 작가표 동양 판타지 소년만화,https://series.naver.com/comic/detail.series?originalProductId=218870,100000,0,247.0,2016.06.01,2016.08.03,9.9,1,9.9,스토리,판타지,0,2
2,가령의 정체불명 이야기,https://comic.naver.com/webtoon/list?titleId=732071,1,https://shared-comic.pstatic.net/thumb/webtoon/732071/thumbnail/thumbnail_IMAG10_0c96b047-dba2-40c8-8558-8622a8d53d9b.jpg,가령,"옴니버스, 드라마",15세 이용가,어느 날... 인어가 내게 말을 걸어왔다. 눈을 떠보니 총구가 있었다. 그리고 몸이 연기처럼 사라지기 시작했다. 판타지보다 비현실적인 우리의 회색빛 이야기.,https://series.naver.com/comic/detail.series?originalProductId=371133,38392,0,25.0,2019.08.19,2019.09.02,9.9,2,9.9,옴니버스,드라마,2,1
3,가비지타임,https://comic.naver.com/webtoon/list?titleId=703844,0,https://shared-comic.pstatic.net/thumb/webtoon/703844/thumbnail/thumbnail_IMAG10_066e135a-2899-4b96-8ec1-7c633d616e1f.jpg,2사장,"스토리, 스포츠",전체연령가,"한국 최초 한국형 고교스포츠 웹툰!열혈따윈 개나 줘, 낙오자들 뿐인 농구부의 운명은?",https://series.naver.com/comic/detail.series?originalProductId=354284,81510,0,149.0,2022.05.07,2022.11.19,9.9,0,9.9,스토리,스포츠,0,9
4,가상&RPG,https://comic.naver.com/webtoon/list?titleId=785701,0,https://shared-comic.pstatic.net/thumb/webtoon/785701/thumbnail/thumbnail_IMAG10_1daf0900-0f55-4fc7-a59e-0ec3e975409a.jpg,주다현,"스토리, 판타지",12세 이용가,"""사람은 좀 죽여도 싸우는건 싫어해요."" 게임에서조차 집 바깥을 나가지 않는 '제리'. 전투는 한 번도 안해봤는데, 에픽 무기가 귀속되었다? 가상현실 액션 RPG 모브사가 온라인. 그 고인물들의 군상극.",,357,0,42.0,2022.08.17,2022.10.19,9.895999999999995,1,9.9,스토리,판타지,0,2
5,가슴털 로망스,https://comic.naver.com/webtoon/list?titleId=729963,1,https://shared-comic.pstatic.net/thumb/webtoon/729963/thumbnail/thumbnail_IMAG10_43c309d8-19f8-4ad6-8ad4-707208fbaeb0.jpg,갸오오,"스토리, 개그",전체연령가,최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들명언범벅 눈물범벅 의리범벅 개그만화!,,54594,0,137.0,2021.11.25,2022.01.27,9.947846153846177,0,9.95,스토리,개그,0,5
6,가우스전자,https://comic.naver.com/webtoon/list?titleId=799793,1,https://shared-comic.pstatic.net/thumb/webtoon/799793/thumbnail/thumbnail_IMAG10_139f4342-76bc-4c3c-bc9d-cae409193d13.jpg,곽백수,"에피소드, 일상",전체연령가,다국적 문어발 기업 가우스전자 마케팅3부 이야기곽백수 작가가 선보이는 본격 직장인 만화!,https://series.naver.com/comic/detail.series?originalProductId=481577,17,0,417.0,2022.09.21,2022.09.21,9.4,0,9.4,에피소드,일상,1,6
7,가족같은 XX,https://comic.naver.com/webtoon/list?titleId=790239,0,https://shared-comic.pstatic.net/thumb/webtoon/790239/thumbnail/thumbnail_IMAG10_04f93d8c-988d-499c-b673-b05aa00ed77a.jpg,서우현,"스토리, 로맨스",15세 이용가,"탑 배우 한나나는 우연히 갈 곳 없는 고등학생 유성우를 집에 들인다.아슬아슬한 동거가 시작된 가운데, 갑자기 좋아하던 선배 이한이 다가오기 시작하는데..?!가족 같은 남자와 가족이 되고 싶은 남자, 누가 진짜 가족이 될까?",https://series.naver.com/comic/detail.series?originalProductId=459863,334,0,44.0,2022.09.21,2022.11.23,9.9,2,9.9,스토리,로맨스,0,0
8,가족의 초상,https://comic.naver.com/webtoon/list?titleId=753385,1,https://shared-comic.pstatic.net/thumb/webtoon/753385/thumbnail/thumbnail_IMAG10_13ca7cac-0ad7-47d1-b844-6833f40b9e5e.jpg,김승택,"에피소드, 드라마",12세 이용가,"할머니의 죽음과 그로 인한 가족들의 변화를 겪어 나가면서, 당연하게만 생각했던 가족의 소중함을 깨닫게 되는 이야기이다.",https://series.naver.com/comic/detail.series?originalProductId=388684,222,0,47.0,2020.09.28,2020.09.28,9.5,1,9.5,에피소드,드라마,1,1
9,가짜 동맹,https://comic.naver.com/webtoon/list?titleId=788167,0,https://shared-comic.pstatic.net/thumb/webtoon/788167/thumbnail/thumbnail_IMAG10_c57ca45f-4229-4a8c-9500-1684a3926aa7.jpg,케냠,"스토리, 로맨스",전체연령가,소꿉친구와 하루아침에 커플이 되었다?!통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’.동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다!,https://series.naver.com/comic/detail.series?originalProductId=457822,624,0,50.0,2022.09.20,2022.11.22,9.9,0,9.9,스토리,로맨스,0,0
