,mon_popularity_order_by_day,tue_popularity_order_by_day,wed_popularity_order_by_day,thu_popularity_order_by_day,fri_popularity_order_by_day,sat_popularity_order_by_day,sun_popularity_order_by_day,dailyPlus_popularity_order_by_day,mon_female_reader_popularity_order_list_by_day,tue_female_reader_popularity_order_list_by_day,wed_female_reader_popularity_order_list_by_day,thu_female_reader_popularity_order_list_by_day,fri_female_reader_popularity_order_list_by_day,sat_female_reader_popularity_order_list_by_day,sun_female_reader_popularity_order_list_by_day,dailyPlus_female_reader_popularity_order_list_by_day,mon_male_reader_popularity_order_list_by_day,tue_male_reader_popularity_order_list_by_day,wed_male_reader_popularity_order_list_by_day,thu_male_reader_popularity_order_list_by_day,fri_male_reader_popularity_order_list_by_day,sat_male_reader_popularity_order_list_by_day,sun_male_reader_popularity_order_list_by_day,dailyPlus_male_reader_popularity_order_list_by_day,mon_hit_order_list_by_day,tue_hit_order_list_by_day,wed_hit_order_list_by_day,thu_hit_order_list_by_day,fri_hit_order_list_by_day,sat_hit_order_list_by_day,sun_hit_order_list_by_day,dailyPlus_hit_order_list_by_day
1,참교육,1을 줄게,내 남편과 결혼해줘,연애혁명,외모지상주의,2022 몰래보는 로맨스,싸움독학,통 엣지 [완전판],버림받은 왕녀의 은밀한 침실,1을 줄게,내 남편과 결혼해줘,2022 몰래보는 로맨스,어쩌다보니 천생연분,2022 몰래보는 로맨스,시월드가 내게 집착한다,후궁의 초대,참교육,김부장,전지적 독자 시점,나노마신,외모지상주의,99강화나무몽둥이,싸움독학,통 엣지 [완전판],소녀의 세계,여신강림,내 남편과 결혼해줘,연애혁명,외모지상주의,호랑이형님,싸움독학,신부가 필요해
2,버림받은 왕녀의 은밀한 침실,여신강림,비즈니스 여친,2022 몰래보는 로맨스,어쩌다보니 천생연분,99강화나무몽둥이,입학용병,후궁의 초대,팔이피플,여신강림,비즈니스 여친,남편을 죽여줘요,"언니, 이번 생엔 내가 왕비야",세레나,자매전쟁,마녀의 소녀,퀘스트지상주의,멸망 이후의 세계,헬퍼 2 : 킬베로스,천마육성,광마회귀,호랑이형님,입학용병,일진담당일진,뷰티풀 군바리,1을 줄게,전지적 독자 시점,2022 몰래보는 로맨스,어쩌다보니 천생연분,프리드로우,입학용병,일진담당일진
3,팔이피플,김부장,전지적 독자 시점,남편을 죽여줘요,광마회귀,호랑이형님,시월드가 내게 집착한다,일진담당일진,소녀의 세계,하루만 네가 되고 싶어,먹는 인생,연애혁명,개를 낳았다,아홉수 우리들,"곱게 키웠더니, 짐승",숲속에서 공작이 주운 것은,뷰티풀 군바리,내가 키운 S급들,튜토리얼 탑의 고인물,현실퀘스트,나 혼자 만렙 뉴비,취사병 전설이 되다,사형소년,전생했더니 신입사원,윈드브레이커,김부장,연놈,남편을 죽여줘요,개를 낳았다,99강화나무몽둥이,"곱게 키웠더니, 짐승",후궁의 초대
4,뷰티풀 군바리,하루만 네가 되고 싶어,먹는 인생,나노마신,나 혼자 만렙 뉴비,세레나,사형소년,마녀의 소녀,물어보는 사이,마루는 강쥐,내가 죽기로 결심한 것은,별을 삼킨 너에게,세기말 풋사과 보습학원,반드시 해피엔딩,칼끝에 입술,신부가 필요해,장씨세가 호위무사,하북팽가 막내아들,무림서부,무사만리행,낙향문사전,프리드로우,약한영웅,일신상의 이유로 잠시 휴재합니다,참교육,하루만 네가 되고 싶어,비즈니스 여친,나노마신,대학원 탈출일지,세레나,시월드가 내게 집착한다,숲속에서 공작이 주운 것은
5,퀘스트지상주의,마루는 강쥐,내가 죽기로 결심한 것은,별을 삼킨 너에게,개를 낳았다,취사병 전설이 되다,자매전쟁,신부가 필요해,호랑신랑뎐,대학원 탈출일지,마른 가지에 바람처럼,버려진 나의 최애를 위하여,대학원 탈출일지,먹는 인생,동생친구,선녀외전,윈드브레이커,천마는 평범하게 살 수 없다,나쁜사람,연애혁명,데드퀸,망나니 소교주로 환생했다,천하제일인,신 고구려전기,버림받은 왕녀의 은밀한 침실,대학원 탈출일지,먹는 인생,별을 삼킨 너에게,광마회귀,2022 몰래보는 로맨스,자매전쟁,퇴마록
6,장씨세가 호위무사,대학원 탈출일지,마른 가지에 바람처럼,호랑신랑뎐,대학원 탈출일지,아홉수 우리들,약한영웅,숲속에서 공작이 주운 것은,똑 닮은 딸,올가미,쓰레기는 쓰레기통에!,호랑신랑뎐,그렇고 그런 바람에,작전명 순정,고백 취소도 되나?,꿈에서 자유로,앵무살수,중증외상센터 : 골든 아워,고삼무쌍,나 혼자 네크로맨서,어쩌다보니 천생연분,은탄,판사 이한영,싸움꾼,퀘스트지상주의,마루는 강쥐,내가 죽기로 결심한 것은,최강전설 강해효,나 혼자 만렙 뉴비,취사병 전설이 되다,약한영웅,미치도록 너만을
7,소녀의 세계,내가 키운 S급들,헬퍼 2 : 킬베로스,천마육성,"언니, 이번 생엔 내가 왕비야",먹는 인생,"곱게 키웠더니, 짐승",선녀외전,북부 공작님을 유혹하겠습니다,로잘린 보가트,전지적 독자 시점,뮤즈 온 유명,온리호프,청춘 블라썸,살아남은 로맨스,아기 볼모가 너무 귀여워,신화급 귀속 아이템을 손에 넣었다,헬58,칼에 취한 밤을 걷다,회귀한 천재 헌터의 슬기로운 청소생활,역대급 영지 설계사,간첩 18세,분신으로 자동사냥,진검승부,팔이피플,은주의 방 2~3부,헬퍼 2 : 킬베로스,호랑신랑뎐,"언니, 이번 생엔 내가 왕비야",반드시 해피엔딩,마법스크롤 상인 지오,"울어주세요, 황태자님"
8,윈드브레이커,중증외상센터 : 골든 아워,튜토리얼 탑의 고인물,현실퀘스트,세기말 풋사과 보습학원,반드시 해피엔딩,칼끝에 입술,전생했더니 신입사원,순정말고 순종,중증외상센터 : 골든 아워,하렘의 남자들,완벽한 결혼의 정석,선을 넘은 연애,대충 캠퍼스로맨스임,수희0(tngmlek0),일진담당일진,절대검감,용사가 돌아왔다,사상최강,재벌집 막내아들,사신,스터디그룹,약빨이 신선함,위대한 가문의 검술 천재가 되었다,장씨세가 호위무사,내가 키운 S급들,마른 가지에 바람처럼,버려진 나의 최애를 위하여,세기말 풋사과 보습학원,먹는 인생,사형소년,마성의 공작님은 잠 못 이루고
9,호랑신랑뎐,멸망 이후의 세계,일렉시드,버려진 나의 최애를 위하여,그렇고 그런 바람에,프리드로우,동생친구,아기 볼모가 너무 귀여워,오빠집이 비어서,시한부인 줄 알았어요!,하얀 사자의 비밀 신부,순수한 동거생활,너의 미소가 함정,존잘주의,위험한 남편을 길들이는 법,간택주의보,퍼니게임,여신강림,급식아빠,최강전설 강해효,1초,"나태 공자, 노력 천재 되다",장풍전,시크릿 플레이어,물어보는 사이,중증외상센터 : 골든 아워,급식아빠,현실퀘스트,더 게이머,아홉수 우리들,칼끝에 입술,지금부터 황제의 마음을 빼앗겠습니다
10,물어보는 사이,놓지마 정신줄 시즌3,급식아빠,뮤즈 온 유명,데드퀸,작전명 순정,천하제일인,꿈에서 자유로,참교육,견우와 선녀,"안녕, 나의 수집",순정빌런,성스러운 그대 이르시길,남편 먹는 여자,싸움독학,저주가 저주가 아닌 게 저주,리턴 투 플레이어,1을 줄게,일렉시드,던전 씹어먹는 아티팩트,상남자,놓지마 정신줄 시즌3,아카데미에 위장취업당했다,북경신보,호랑신랑뎐,윌유메리미,일렉시드,천마육성,데드퀸,청춘 블라썸,동생친구,살인자의 쇼핑 목록
